Participant,Dimension,Item,Reponse
10,Conditions Facilitantes,CF3,4
10,Conditions Facilitantes,CF4,5
10,Conditions Facilitantes,CF5,4
10,Conditions Facilitantes,CF6,3
10,Conditions Facilitantes,CF7,4
10,Conditions Facilitantes,CF8,2
10,Attente Face Effort,AFE1,4
10,Attente Face Effort,AFE2,5
10,Attente Face Effort,AFE4,3
10,Attente Face Effort,AFE5,4
10,Attente Face Performance,APF1,5
10,Attente Face Performance,APF2,4
10,Attente Face Performance,APF3,4
10,Attente Face Performance,APF4,5
10,Attente Face Performance,APF5,5
10,Attente Face Performance,APF6,4
10,Image Esperee ID Pro,IEIP1,4
10,Image Esperee ID Pro,IEIP2,5
10,Image Esperee ID Pro,IEIP3,4
10,Image Esperee ID Pro,IEIP4,1
10,Motivation,MOT1,2
10,Motivation,MOT2,5
10,Motivation,MOT3,5
10,Motivation,MOT4,3
10,Motivation,MOT5,4
10,Motivation,MOT6,5
10,Motivation,MOT7,5
10,Motivation,MOT8,5
10,Motivation,MOT9,4
10,Intention Adoption,INTU1,3
11,Leadership,LDS2,4
11,Leadership,LDS3,4
11,Leadership,LDS4,4
11,Leadership,LDS5,4
11,Leadership,LDS6,1
11,Normes Subjectives,NSUB1,4
11,Normes Subjectives,NSUB2,4
11,Normes Subjectives,NSUB3,4
11,Normes Subjectives,NSUB4,4
11,Normes Subjectives,NSUB5,5
11,Conditions Facilitantes,CF1,5
11,Conditions Facilitantes,CF2,2
11,Conditions Facilitantes,CF3,1
11,Conditions Facilitantes,CF4,4
11,Conditions Facilitantes,CF5,4
11,Conditions Facilitantes,CF6,5
11,Conditions Facilitantes,CF7,4
11,Conditions Facilitantes,CF8,5
11,Attente Face Effort,AFE1,4
11,Attente Face Effort,AFE2,4
11,Attente Face Effort,AFE4,5
11,Attente Face Effort,AFE5,2
11,Attente Face Performance,APF1,4
11,Attente Face Performance,APF2,5
11,Attente Face Performance,APF3,5
11,Attente Face Performance,APF4,4
11,Attente Face Performance,APF5,5
11,Attente Face Performance,APF6,5
11,Image Esperee ID Pro,IEIP1,4
11,Image Esperee ID Pro,IEIP2,5
11,Image Esperee ID Pro,IEIP3,5
11,Image Esperee ID Pro,IEIP4,1
11,Motivation,MOT1,4
11,Motivation,MOT2,5
11,Motivation,MOT3,4
11,Motivation,MOT4,5
11,Motivation,MOT5,5
11,Motivation,MOT6,5
11,Motivation,MOT7,5
11,Motivation,MOT8,5
11,Motivation,MOT9,4
11,Intention Adoption,INTU1,4
12,Leadership,LDS2,4
12,Leadership,LDS3,3
12,Leadership,LDS4,3
12,Leadership,LDS5,5
12,Leadership,LDS6,3
12,Normes Subjectives,NSUB1,5
12,Normes Subjectives,NSUB2,3
12,Normes Subjectives,NSUB3,3
12,Normes Subjectives,NSUB4,1
12,Normes Subjectives,NSUB5,5
12,Conditions Facilitantes,CF1,4
12,Conditions Facilitantes,CF2,4
12,Conditions Facilitantes,CF3,3
12,Conditions Facilitantes,CF4,5
12,Conditions Facilitantes,CF5,4
12,Conditions Facilitantes,CF6,5
12,Conditions Facilitantes,CF7,3
12,Conditions Facilitantes,CF8,3
12,Attente Face Effort,AFE1,3
12,Attente Face Effort,AFE2,3
12,Attente Face Effort,AFE4,1
12,Attente Face Effort,AFE5,4
12,Attente Face Performance,APF1,3
12,Attente Face Performance,APF2,3
12,Attente Face Performance,APF3,3
12,Attente Face Performance,APF4,5
12,Attente Face Performance,APF5,5
12,Attente Face Performance,APF6,3
12,Image Esperee ID Pro,IEIP1,4
12,Image Esperee ID Pro,IEIP2,4
12,Image Esperee ID Pro,IEIP3,4
12,Image Esperee ID Pro,IEIP4,2
12,Motivation,MOT1,3
